iter	Passed	Remaining
0	138	138074
1	139	69423
2	140	46596
3	141	35322
4	143	28483
5	144	23883
6	150	21414
7	152	18861
8	153	16857
9	154	15255
10	155	13954
11	156	12860
12	157	11944
13	158	11148
14	159	10474
15	160	9876
16	161	9337
17	162	8871
18	163	8456
19	164	8079
20	174	8116
21	186	8308
22	187	7982
23	188	7679
24	189	7405
25	190	7152
26	192	6922
27	200	6968
28	201	6758
29	202	6560
30	204	6378
31	216	6554
32	217	6378
33	218	6218
34	219	6063
35	221	5920
36	222	5784
37	223	5655
38	224	5530
39	225	5415
40	226	5305
41	227	5194
42	228	5094
43	230	4998
44	231	4906
45	232	4825
46	233	4740
47	234	4657
48	235	4575
49	245	4662
50	247	4599
51	248	4525
52	249	4456
53	250	4386
54	251	4320
55	252	4256
56	253	4192
57	254	4134
58	255	4074
59	256	4021
60	257	3968
61	258	3917
62	259	3866
63	274	4018
64	275	3969
65	277	3921
66	278	3873
67	279	3828
68	280	3785
69	281	3743
70	282	3699
71	294	3796
72	295	3755
73	296	3714
74	307	3792
75	308	3755
76	310	3716
77	311	3678
78	312	3638
79	313	3601
80	314	3565
81	315	3529
82	316	3495
83	317	3459
84	318	3424
85	319	3391
86	320	3359
87	321	3331
88	322	3299
89	323	3269
90	324	3242
91	325	3214
92	326	3183
93	327	3156
94	328	3130
95	344	3243
96	345	3216
97	346	3190
98	347	3165
99	348	3139
100	350	3115
101	350	3089
102	351	3064
103	353	3042
104	354	3019
105	355	2996
106	356	2974
107	357	2952
108	358	2930
109	359	2909
110	360	2888
111	361	2868
112	362	2848
113	364	2829
114	365	2810
115	366	2790
116	367	2771
117	368	2752
118	369	2733
119	370	2713
120	371	2695
121	372	2677
122	373	2659
123	374	2642
124	380	2662
125	381	2646
126	382	2630
127	383	2613
128	384	2597
129	386	2583
130	387	2567
131	388	2551
132	389	2540
133	390	2526
134	391	2511
135	393	2498
136	394	2486
137	395	2471
138	396	2458
139	398	2445
140	399	2431
141	400	2417
142	401	2405
143	402	2391
144	403	2378
145	404	2368
146	405	2354
147	406	2342
148	408	2332
149	410	2323
150	410	2310
151	411	2298
152	427	2367
153	428	2355
154	430	2347
155	431	2335
156	433	2325
157	434	2313
158	435	2301
159	436	2290
160	437	2277
161	440	2276
162	441	2265
163	441	2253
164	443	2242
165	444	2231
166	444	2218
167	445	2208
168	446	2197
169	447	2187
170	449	2176
171	450	2166
172	451	2156
173	451	2145
174	452	2134
175	453	2125
176	455	2116
177	456	2106
178	457	2097
179	458	2086
180	459	2076
181	459	2067
182	465	2079
183	466	2069
184	467	2059
185	469	2053
186	470	2044
187	471	2038
188	473	2030
189	474	2021
190	475	2013
191	476	2005
192	477	1996
193	478	1989
194	480	1981
195	481	1973
196	482	1965
197	483	1957
198	498	2008
199	500	2000
200	501	1991
201	502	1983
202	503	1975
203	503	1966
204	504	1957
205	505	1949
206	507	1942
207	508	1934
208	509	1927
209	510	1919
210	511	1911
211	512	1904
212	513	1897
213	514	1889
214	515	1882
215	516	1875
216	517	1868
217	518	1860
218	519	1853
219	520	1845
220	521	1839
221	522	1832
222	523	1825
223	525	1819
224	526	1812
225	527	1804
226	528	1798
227	529	1792
228	536	1805
229	537	1798
230	538	1791
231	539	1785
232	543	1790
233	545	1784
234	559	1822
235	560	1815
236	562	1812
237	564	1805
238	565	1799
239	566	1792
240	567	1786
241	568	1779
242	569	1773
243	570	1767
244	571	1761
245	572	1754
246	573	1748
247	574	1742
248	575	1736
249	576	1730
250	577	1724
251	578	1717
252	579	1711
253	580	1704
254	581	1699
255	582	1693
256	583	1688
257	585	1682
258	586	1679
259	587	1673
260	588	1667
261	590	1662
262	591	1656
263	592	1650
264	592	1644
265	593	1638
266	594	1632
267	595	1627
268	596	1622
269	597	1616
270	598	1611
271	599	1605
272	600	1599
273	601	1594
274	602	1589
275	640	1681
276	641	1675
277	642	1669
278	643	1663
279	644	1658
280	646	1653
281	646	1647
282	647	1641
283	648	1635
284	649	1630
285	650	1624
286	657	1633
287	658	1628
288	660	1624
289	661	1619
290	662	1614
291	663	1609
292	665	1606
293	666	1601
294	684	1636
295	685	1631
296	687	1627
297	688	1622
298	689	1616
299	690	1611
300	691	1605
301	696	1610
302	698	1605
303	699	1600
304	704	1604
305	704	1598
306	714	1613
307	715	1607
308	716	1603
309	717	1597
310	718	1591
311	719	1587
312	720	1582
313	721	1576
314	722	1571
315	729	1579
316	730	1574
317	731	1569
318	733	1564
319	734	1559
320	735	1554
321	736	1550
322	737	1545
323	738	1540
324	739	1536
325	740	1531
326	741	1526
327	742	1521
328	757	1544
329	758	1540
330	759	1535
331	760	1530
332	761	1526
333	762	1521
334	764	1516
335	765	1512
