iter	MultiClass
0	1.02386897
1	0.9584169397
2	0.8917807202
3	0.8291885023
4	0.7861616684
5	0.7421312465
6	0.7020764948
7	0.6687095547
8	0.6406847768
9	0.6107415884
10	0.5820348652
11	0.5569266809
12	0.5325893939
13	0.5116206099
14	0.4965487744
15	0.4770675287
16	0.4638369845
17	0.446766518
18	0.4303902269
19	0.4199801337
20	0.4070569231
21	0.3958089589
22	0.3855788209
23	0.3758042436
24	0.3661170672
25	0.358419181
26	0.3504671291
27	0.3443974721
28	0.3347465944
29	0.3283515568
30	0.3214309048
31	0.3152452817
32	0.3083793955
33	0.3024775476
34	0.2973664985
35	0.2924642293
36	0.2879606102
37	0.2834317222
38	0.278988003
39	0.2751895633
40	0.271589372
41	0.268865275
42	0.266972845
43	0.264468455
44	0.2616042799
45	0.2588736284
46	0.2557531951
47	0.253448392
48	0.2512111586
49	0.2493145878
50	0.2467175488
51	0.2442071458
52	0.2422901615
53	0.2404495717
54	0.2380197228
55	0.236092372
56	0.2344825722
57	0.2322365355
58	0.2308295898
59	0.228946071
60	0.2274805251
61	0.2257869668
62	0.2241587736
63	0.2215436856
64	0.2199713825
65	0.2184055515
66	0.2169937653
67	0.2159163602
68	0.2143829919
69	0.2127337342
70	0.2103859928
71	0.2080340864
72	0.2067460757
73	0.2055542295
74	0.203708951
75	0.2023012581
76	0.2010060307
77	0.1998076837
78	0.1981330019
79	0.196911411
80	0.1960408338
81	0.1948852279
82	0.1938601873
83	0.1926618984
84	0.1917903625
85	0.1907710974
86	0.189653747
87	0.1885791497
88	0.1873849085
89	0.1862734242
90	0.185439394
91	0.184561895
92	0.1832081076
93	0.1823391583
94	0.1812363577
95	0.1801616456
96	0.1793442198
97	0.1782390786
98	0.1769904416
99	0.1755607671
100	0.1744897281
101	0.1735482055
102	0.1725485597
103	0.1718382388
104	0.1711675216
105	0.1703580876
106	0.169130558
107	0.168322343
108	0.1679152396
109	0.1665403946
110	0.1656538034
111	0.1648695451
112	0.1642210802
113	0.1637616412
114	0.1627766744
115	0.161877361
116	0.1610840349
