iter	Passed	Remaining
0	0	656
1	1	596
2	1	575
3	2	559
4	2	551
5	3	538
6	3	536
7	4	533
8	4	531
9	5	528
10	5	526
11	6	525
12	6	524
13	7	525
14	7	524
15	8	524
16	9	532
17	9	533
18	10	538
19	11	539
20	11	543
21	12	546
22	12	545
23	13	548
24	14	548
25	14	548
26	15	548
27	15	547
28	16	545
29	16	546
30	17	545
31	18	546
32	18	545
33	19	544
34	19	542
35	20	542
36	20	540
37	21	535
38	21	531
39	22	531
40	22	531
41	23	530
42	23	530
43	24	529
44	24	529
45	25	529
46	25	526
47	26	525
48	27	524
49	27	523
50	28	522
51	28	522
52	29	521
53	29	520
54	30	520
55	30	520
56	31	519
57	31	518
58	32	518
59	33	518
60	33	518
61	34	517
62	34	517
63	35	517
64	35	517
65	36	516
66	37	516
67	37	516
68	38	516
69	38	515
70	39	516
71	40	517
72	40	517
73	41	516
74	41	516
75	42	516
76	43	516
77	43	516
78	44	516
79	44	516
80	45	516
81	46	516
82	46	516
83	47	515
84	47	515
85	48	515
86	49	515
87	49	515
88	50	515
89	50	515
90	51	515
91	52	515
92	52	516
93	53	516
94	54	516
95	54	516
96	55	516
97	56	516
98	56	518
99	57	518
100	58	518
101	58	519
102	59	518
103	60	518
104	60	518
105	61	518
106	62	518
107	62	518
108	63	518
109	64	518
110	64	518
111	65	518
112	65	517
113	66	517
114	67	518
115	68	518
116	68	518
117	69	518
118	70	518
119	70	518
120	71	518
121	72	518
122	72	519
123	73	518
124	73	517
125	74	516
126	75	516
127	75	516
128	76	515
129	76	515
130	77	515
131	78	515
132	78	514
133	79	515
134	80	515
135	80	514
136	81	514
137	82	514
138	83	514
139	83	514
140	84	513
141	84	513
142	85	513
143	86	512
144	86	512
145	87	511
146	88	511
147	88	510
148	89	510
149	90	510
150	90	509
151	91	509
152	91	508
153	92	509
154	93	508
155	93	508
156	94	508
157	95	507
158	95	507
159	96	506
160	97	505
161	97	505
162	98	505
163	98	504
164	99	503
165	100	502
166	100	502
167	101	501
168	101	501
169	102	500
170	103	500
171	103	499
172	104	499
173	104	498
174	105	497
175	106	497
176	106	497
177	107	496
178	108	495
179	108	495
180	109	494
181	109	493
182	110	493
183	111	493
184	111	492
185	112	492
186	112	491
187	113	490
188	114	489
189	114	489
190	115	488
191	115	488
192	116	488
193	117	487
194	117	487
195	118	486
196	119	486
197	119	485
198	120	485
199	121	484
200	121	484
201	122	483
202	123	483
203	123	482
204	124	482
205	124	481
206	125	480
207	126	480
208	126	479
209	127	479
210	127	478
211	128	477
212	129	477
213	129	476
214	130	476
215	131	475
216	131	475
217	132	474
218	132	473
219	133	473
220	134	472
221	134	472
222	135	471
223	135	470
224	136	470
225	137	469
226	137	469
227	138	468
228	139	468
229	139	467
230	140	467
231	140	466
232	141	466
233	142	465
234	142	464
235	143	464
236	143	463
237	144	462
238	145	462
239	145	461
240	146	460
241	146	460
242	147	459
243	148	459
244	148	458
245	149	457
246	149	457
247	150	456
248	151	456
249	151	455
250	152	455
251	153	455
252	154	455
253	154	454
254	155	454
255	156	453
256	157	453
257	157	454
258	158	454
259	159	454
260	160	454
261	161	454
262	162	454
263	163	454
264	164	454
265	164	454
266	165	454
267	166	454
268	166	453
269	167	453
270	168	452
271	168	451
272	169	451
273	170	450
274	170	450
275	171	449
276	172	449
277	172	448
278	173	448
279	174	447
280	174	446
281	175	446
282	175	445
283	176	445
284	177	444
285	177	443
286	178	443
287	179	443
288	179	442
289	180	441
290	181	441
291	181	440
292	182	440
293	183	439
294	184	439
295	184	439
296	185	439
297	186	439
298	187	438
299	187	438
300	188	438
301	189	438
302	190	437
303	191	437
304	191	436
305	192	436
306	193	435
307	193	435
308	194	435
309	195	434
310	196	434
311	196	433
312	197	433
313	198	433
314	199	432
315	199	432
316	200	432
317	201	431
318	202	431
319	202	430
320	203	430
321	204	429
322	204	429
323	205	429
324	206	428
325	207	428
326	207	427
327	208	427
328	209	426
329	209	425
330	210	425
331	211	424
332	211	424
333	212	423
334	213	423
335	214	422
336	214	422
337	215	421
338	215	420
339	216	420
340	217	419
341	217	419
342	218	418
343	219	418
344	220	417
345	220	417
346	221	416
347	222	416
348	222	415
349	223	415
350	224	414
351	225	414
352	225	413
353	226	413
354	227	412
355	227	412
356	228	411
357	229	410
358	229	410
359	230	409
360	230	408
361	231	407
362	232	407
363	232	406
364	233	405
365	233	404
366	234	404
367	234	403
368	235	402
369	236	401
370	236	401
371	237	400
372	237	399
373	238	399
374	239	398
375	239	397
376	240	397
377	241	396
378	241	396
379	242	395
380	243	395
381	243	394
382	244	393
383	245	393
384	245	392
385	246	392
386	247	391
387	247	391
388	248	390
389	249	389
390	249	389
391	250	388
392	251	387
393	251	387
394	252	386
395	253	386
396	253	385
397	254	385
398	255	384
399	255	383
400	256	383
401	257	382
402	257	381
403	258	380
404	258	380
405	259	379
406	260	378
407	260	378
408	261	377
409	261	376
410	262	376
411	263	375
412	263	375
413	264	374
414	265	373
415	265	373
416	266	372
417	267	371
418	267	371
419	268	370
420	269	370
421	269	369
422	270	368
423	271	368
424	271	367
425	272	366
426	272	366
427	273	365
428	274	364
429	274	363
430	275	363
431	275	362
432	276	361
433	277	361
434	277	360
435	278	359
436	278	359
437	279	358
438	280	358
439	280	357
440	281	356
441	282	356
442	282	355
443	283	354
444	283	354
445	284	353
446	285	352
447	285	352
448	286	351
449	287	350
450	287	350
451	288	349
452	289	349
453	289	348
454	290	347
455	290	347
456	291	346
457	292	345
458	292	345
459	293	344
460	294	344
461	295	343
462	295	343
463	296	342
464	297	342
465	298	341
466	299	341
467	299	340
468	300	340
469	301	340
470	302	339
471	302	338
472	303	338
473	304	337
474	304	336
475	305	336
476	306	335
477	306	335
478	307	334
479	308	333
480	308	333
481	309	332
482	310	331
483	310	331
484	311	330
485	311	329
486	312	329
487	313	328
488	313	327
489	314	327
490	315	326
491	315	326
492	316	325
493	316	324
494	317	323
495	318	323
496	318	322
497	319	322
498	320	321
499	320	320
500	321	320
501	321	319
502	322	318
503	323	318
504	323	317
505	324	316
506	324	315
507	325	315
508	326	314
509	326	314
510	327	313
511	328	312
512	328	312
513	329	311
514	329	310
515	330	310
516	331	309
517	331	308
518	332	308
519	332	307
520	333	306
521	334	306
522	334	305
523	335	304
524	336	304
525	336	303
526	337	302
527	337	302
528	338	301
529	339	300
530	339	300
531	340	299
532	340	298
533	341	298
534	342	297
535	342	296
536	343	296
537	343	295
538	344	294
539	345	294
540	345	293
541	346	292
542	347	292
543	347	291
544	348	290
545	348	290
546	349	289
547	350	288
548	350	288
549	351	287
550	351	286
551	352	286
552	353	285
553	353	284
554	354	284
